row,SID,CASRN,Name,prop_age_under18,prop_age_65plus,female_led_hh_prop,eng_lim_prop,usentry_2010_prop,forborn_prop,uscitizen_no_prop,disability_prop,single_parent_prop,publictrans_taxi_mcycle_bike_walk_prop,travel_time_work_minute,prop_living_alone,poverty1yr_prop,service_manual_prop,gini_index,unemployment_prop,education_less_hs_prop,vehicle_avail_no_prop,pop_density,group_quarters_prop,occ_room_1_01plus_prop,age_structure_2019,str_units_1att_2plus_mobile_boat_rv_van_prop,str_units_20plus,move1yr_prop,str_vacancy_prop,income1yr_neg_median,CSMOKING_CrudePrev,BINGE_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,STROKE_CrudePrev,COPD_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,CHECKUP_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,DENTAL_CrudePrev,CERVICAL_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,MAMMOUSE_CrudePrev,ACCESS2_CrudePrev
55,10310,"","",0.24475339737582,0.143623359887535,0.130469222088603,0.0540526134883495,0.0743974150040449,0.218793613721462,0.0890113139983611,0.0954626288659794,0.419097188207879,0.412634514278665,62930.4686035614,0.268852858578096,0.170888940169161,0.386766706925138,0.45522851452671,0.0395205384617844,0.143771100457025,0.182770631709287,15066.2606880065,0.00521908277375038,0.0450142929157878,70.7949859418932,0.598524577236719,0.114402691242708,0.0466660779125669,0.0928046809339763,175828.860238988,19.894587628866,16.8123477038426,28.6271204311153,33.8757146204311,45.3582357075914,29.0963917525773,74.118228678538,6.01840440487348,11.2796274601687,5.79599343955014,3.17709700093721,7.00822399250234,11.7125351452671,31.8341729147142,2.93399718837863,14.4249531396439,13.1707825679475,18.8080599812559,6.87245680769382,12.0964386129335,8.75912605435801,19.6775743212893,5.10953184810471,8.02972118088097,17.5833492895511,5.72981943874464,16.5503163074039
56,10312,"","",0.220029578648734,0.179543553640853,0.0483186844910907,0.0203624874097814,0.0816949928219294,0.144205461086167,0.0316904448632126,0.0851261426920248,0.19951948468899,0.244373486801305,125477.073394977,0.188150514753329,0.0552379578416911,0.322919171654543,0.401781270358306,0.043148530339481,0.0635260261515488,0.0343549214484126,13480.5040091095,0.00144359350079048,0.0226832249507248,39.5386676473679,0.597240095927321,0.00659756457584233,0.0584820792207883,0.0457142664553804,151347.405169696,17.9288168540506,19.1154933277293,22.668635074078,28.9532941052853,41.5642009036461,26.785993485342,74.7054323841547,6.97399390564253,10.2069086897131,5.39266575601555,2.56017652621624,6.46686981191552,9.14987916360198,33.0163339287591,2.42228118104445,12.5336135336766,10.8409687926868,12.3175738152779,7.36091101074328,8.52150887884838,4.69636965430283,10.8582110504729,3.68889770493132,6.46421141115899,11.4244255885215,6.6294501407814,10.1179100556898
57,10314,"","",0.213625589225589,0.171693531809321,0.0475815986878796,0.0460952378001409,0.125608183327207,0.251622444035772,0.0749404614466556,0.0942062378167641,0.168630201266961,0.295850742819348,103576.109870636,0.218200085468987,0.095046117584299,0.35911448512829,0.418149594187489,0.0405668506666795,0.0940727324693437,0.0465310814604274,13620.6655074446,0.011239695017305,0.046191382821843,48.5760056707425,0.674467856958706,0.0702046770519231,0.0587577316250263,0.0603614155808612,158130.952542974,17.7896260854156,17.2983483962431,24.9107779549885,28.7118908382066,42.3680808080808,28.2584476342371,76.123569023569,7.0647386142123,10.0865461633883,5.88458975722134,2.82905901116427,6.71345383661173,10.3939464823675,33.6760482013114,2.66625908204856,12.3997519050151,11.4206415027468,13.8506361864257,6.7449996899437,9.35864256601099,6.14509303561935,13.364815287654,5.32704738144497,6.37017543859649,13.2538952401039,6.86312261428736,11.8374481658692
58,10451,"","",0.253506502685892,0.126144378475167,0.177532296046538,0.173391266560086,0.176632199357611,0.328443750256799,0.161570263986978,0.185213504853454,0.596203959704918,0.807895603903516,82358.6563471869,0.387879035336302,0.352796240628211,0.582091165103358,0.502248756007916,0.0757449561294546,0.315429283516155,0.631594255488701,69385.9130351612,0.0111892963346035,0.116511892145769,56.2837150127227,0.986670396455092,0.828627727589674,0.0531192909994714,0.0367434729695875,219456.338045425,19.2717981340119,14.8541890491,36.1385024974084,33.6259306380172,43.5924700782207,36.7914098576948,75.3962774479314,5.19790783149562,12.6735793044953,7.1042267458298,4.40864197530864,7.68133069456225,16.9342945999435,33.5360474978796,4.22121854679107,16.2756290641787,16.8057251908397,23.7284139100933,4.59192957988819,14.4902082744322,13.4444114598059,29.4096722542666,7.86743839934236,10.1944303081708,20.461945439883,4.30342077016876,24.6699274337951
59,10452,"","",0.279427273964215,0.088466834478536,0.225733563115016,0.243088114752187,0.227775134939923,0.436355857407259,0.23953770878874,0.14299445540513,0.652778224812039,0.822459835132203,98582.8068235934,0.303182712715915,0.359607371615609,0.620225828705428,0.464530042860059,0.0860638099116644,0.330191924983862,0.664522492804171,94999.7279628331,0.0147249974032944,0.188689312948287,73.8020273487993,0.981296610464717,0.844648563602535,0.0549523771394073,0.0345689243693642,219589.191169467,21.1230151711001,15.6320906184094,37.8512687937955,34.878216205184,44.4802911762705,33.8708789713586,72.2540717055582,4.2802911762705,12.6707803251922,6.61693312470236,3.99930607524321,7.57144023402953,16.3484182597456,32.0724096877339,3.96934825498333,17.5595244574461,17.5584529559834,25.149874141098,6.3488018663284,16.0510136743996,14.298207361045,32.9534376497881,9.06936036547032,12.0537519559154,24.719243771627,4.48629118181279,27.9291278318253
60,10453,"","",0.280705112802029,0.0851788479508744,0.239722713127734,0.245177691448538,0.265608967274172,0.425649601725966,0.23814275194871,0.155230610065412,0.667097851245634,0.75510930925601,88017.0357762649,0.279263386751582,0.375459187609808,0.611186947568114,0.472925557335469,0.123551949802197,0.336750142222443,0.615385170120538,106865.452316312,0.0205135687073178,0.158333361739664,75.2123881991723,0.984797646874866,0.810313363923515,0.0599075122906074,0.0352689612407082,220313.109364571,21.7500266987051,15.3994226405019,38.557125216927,35.437645174209,45.0104492057135,34.4061073287946,72.4857796021893,4.25891736750768,13.0126151381658,6.67335135495928,4.15117474302496,7.88106060606061,16.6794219730343,32.1359731678014,4.05776264851155,18.0838806567881,18.0324055533307,26.5357629154986,6.14180954988478,16.4973334668269,14.7165832332132,33.9640054269322,9.43423630444887,12.350096782806,25.3438306128436,4.40856776835528,27.8818215191563
61,10454,"","",0.275515177353342,0.08731218735789,0.211402237172016,0.187677175400778,0.112909624585024,0.287564680164678,0.166207803375348,0.198323271941792,0.685023387097593,0.854846916932109,73453.2625625284,0.378729231331138,0.414187421124589,0.5646650252276,0.527691615507049,0.121683255303628,0.384063872492567,0.653286565511733,78853.0066696355,0.0255838175998089,0.138877164527583,61.1736584811278,0.965213801321816,0.658094800580094,0.0613830018119939,0.0509800352251838,226928.883526603,22.9078274215553,15.0906207366985,42.049704411096,35.7858969986357,44.418923374261,35.1383867667122,72.6788312869486,4.52343678944975,13.0418201455207,7.95111982719418,4.58659049567986,8.84265575261482,18.2308719872669,33.7020861755343,4.56343224192815,18.9543599363347,19.7767337426103,28.9671043656207,6.80556825223302,17.4342769440655,15.7101693951796,37.913440868152,11.4169948552738,14.0342598908595,27.3115940708759,5.93832548306997,32.1880343337881
62,10455,"","",0.294291133065008,0.0888483961458715,0.233759187107943,0.178553985323742,0.198384908965156,0.294555851789648,0.153713667531317,0.152789669471887,0.694360575999323,0.772713961930346,84315.9245029882,0.316470837035451,0.370464579876183,0.583604880515622,0.520553201609953,0.127229827673724,0.353151535492605,0.597149763480504,72148.5593980305,0.0236840045951684,0.12675260112035,57.7256982558849,0.984880970583154,0.693511557830892,0.060300604874497,0.0403355797818987,220442.287413099,20.5819917063057,15.5070862300281,38.9180692767411,34.4020490303696,43.504878643737,34.0058543724845,72.5963044273692,4.49914623734602,12.5365471398951,6.99548725454324,4.06642273447982,7.68276009269423,16.7333699231614,32.9159104768874,4.1671911208684,17.4813269910965,17.8425356750823,24.8481461153799,6.50097728125145,15.9373033296744,14.3592267349677,33.2648058630013,9.53177286533622,12.6700451274546,24.8754197345719,5.25578589858333,29.4003537016709
63,10456,"","",0.279803676694014,0.0937096019446976,0.231159194446914,0.180493645131017,0.205950471821608,0.345842472628586,0.182672784593659,0.183718535399575,0.662844807859702,0.774938322345777,90095.0141294439,0.291747908302217,0.374687996251523,0.629764766917911,0.523407286539046,0.127112476260451,0.332690983858608,0.61228682045336,100043.253482014,0.0309239848151668,0.142054284563935,62.4169857186266,0.984605651004456,0.753499585373599,0.077856008334901,0.0459490484534202,221267.994895169,22.0202400486174,14.9699817684594,38.3805986022486,35.5721786690975,45.5318261926466,36.5475934366454,73.9692160437557,4.59250683682771,13.4418292312367,7.03996961409906,4.53316013369796,8.26771194165907,17.147967183227,32.7206168337891,4.2278517168034,17.9846611972045,18.0802552415679,28.0305499848071,5.16810548117979,15.95903068976,14.72387116378,33.6272227717934,8.73055084513075,11.7197447584321,23.6036996023949,4.40211062324515,26.5297842601033
64,10457,"","",0.299045947008975,0.0992244430936461,0.251484378637585,0.20379246393903,0.24631900704024,0.390393605976157,0.215970496316759,0.168809525512211,0.699036269928438,0.755549448059487,79475.675260128,0.302545637083758,0.372157067558152,0.61153289971125,0.496377709443272,0.10559953240601,0.351032936069863,0.604284283534285,87434.8890505555,0.0394034811041638,0.182388836941519,69.1417027210641,0.974014550113697,0.727258685834681,0.0794517814058853,0.0488183003826414,219637.650159116,21.7520434798155,15.1884363714378,38.7901026209461,34.9820645761076,44.7762398541138,34.7461901526799,72.8942932742161,4.471713090428,13.0127185611614,7.01763149426109,4.28322665999213,8.02353488039475,16.8590982229056,32.4172489004899,4.15685271927629,17.9711052311653,18.0899595952372,27.0109307398005,5.98065484327525,16.1040905352737,14.9348446383237,34.0253116590989,9.58282613415726,12.1463009976043,25.1929105921192,4.70835689254655,28.0473129044946
