"ToxPi Score","HClust Group","KMeans Group","Name","Source","DemographicsAge!1/28!0x0072b2ff","DemographicsFemaleLed!1/28!0x0066a0ff","DemographicsImmigration!1/28!0x004f7cff","DemographicsDisability!1/28!0x00446aff","DemographicsSingleParent!1/28!0x003858ff","DemographicsMobility!1/28!0x002d47ff","DemographicsLiveAlone!1/28!0x002235ff","Economic IndicatorsIncomePoverty!1/24!0x009e73ff","Economic IndicatorsServiceManualJobs!1/24!0x008e67ff","Economic IndicatorsGini!1/24!0x007e5cff","Economic IndicatorsEmployment!1/24!0x006e50ff","Economic IndicatorsEducation!1/24!0x005e45ff","Economic IndicatorsVehicleAvail!1/24!0x004f39ff","Residential DensityPopDensity!1/28!0xe69f00ff","Residential DensityGroupQuarters!1/28!0xcf8f00ff","Residential DensityOccPerRoom!1/28!0xb87f00ff","Residential DensityStrAge!1/28!0xa16f00ff","Residential DensityStrAttached!1/28!0x8a5f00ff","Residential DensityMove1Yr!1/28!0x734f00ff","Residential DensityVacancy!1/28!0x5c3f00ff","Health StatusLifestyle!1/16!0xcc79a7ff","Health StatusCondition!1/16!0xb76c96ff","Health StatusPreventive!1/16!0xa36085ff","Health StatusLackInsurance!1/16!0x8e5474ff"
"0.3244320166235588","1","1","","11361","0.6036583942122818","0.1262603410485305","0.4290887560201167","0.37556597811113535","0.22373006580853008","0.07239379928020871","0.3225042520326747","0.2532519900260616","0.1993575612397344","0.18531720197297766","0.30497740430147224","0.06660317916744456","0.10228776108766346","0.09489652246057349","0.15158633822081213","0.7877698559248625","0.7171515229058507","0.1945233937378096","0.1949243649134358","0.7113119403214972","0.37203812519707896","0.5094489742279671","0.4386093329578322","0.2694102303028813"
"0.32243726679269963","1","1","","11360","0.8157350232135359","0.12394785084017076","0.29829878718839453","0.5345423783089619","0.2490163331639978","0.07064404271001622","0.6383195781456639","0.18497098815297833","0.40701100662861006","0.31473504116764717","0.14439195431011248","0.0623258451120223","0.11573857814862382","0.004853904345022358","0.04646098418840276","0.63100209411185","0.8446058861644804","0.33113086388513946","0.18506936742173077","0.7397376905813084","0.16067941988584125","0.6498508623677275","0.2258228489919116","0.15270003265180793"
"0.3218148159366664","1","1","","10314","0.6414878133159023","0.1703024211510531","0.251779719445944","0.3605980062230246","0.19839000947837165","0.12263722525401916","0.2316294112687592","0.32452501764544994","0.2534032123810765","0.25147734749999867","0.21095267706947582","0.04675321047234706","0.07562719418924432","0.07364760575120331","0.14392189722305251","0.5635556343158681","0.6707922964426207","0.08934370230197658","0.109119779237458","0.6968304346521682","0.6741986399801634","0.648096122835006","0.3703829601064399","0.21032253671536863"
"0.32126685603980665","1","1","","11364","0.6333443100055703","0.1637453491208588","0.44012990074331576","0.3213510319555143","0.27095192472683977","0.14445601981265235","0.3322711945348029","0.263161831807962","0.2188524248173014","0.24286680093832458","0.253467140644394","0.06927502241302277","0.10858939199791058","0.013885321189095834","0.09516884945658086","0.7871744671093821","0.6996156654191501","0.154715123610548","0.10356021263955847","0.7325680705340073","0.3432191154872509","0.5392573911955492","0.43693186970547593","0.25408865991723234"
"0.3193482823019257","1","1","","10006","0.0080698439240803","0.07875257247946944","0.4363396505324751","0.03397103021568796","0.19399438231052063","0.32094445645601727","0.8406856462641815","0.010783978724050815","0.2654606440805071","0.2868337051607562","0.005316645210067811","0.891703925428037","0.22291393183655847","0.0","0.2590476377427536","1.0","0.9945286333834815","0.9406168824603856","0.4781444421369598","0.34736873850066313","0.3642317648326929","0.0","0.21491166572386938","0.018441151843782446"
"0.3124697931832642","1","1","","10280","0.43317199593018685","0.1061471617481832","0.44411812982574167","0.13226800424480542","0.13529332097280375","0.46692782386887055","0.5758332120093014","0.019641818199321887","0.48132936792016007","0.16448021077984207","0.023993735157038232","0.8098968091653205","0.7138655521840406","0.0","0.2634004722263064","0.3260818120351584","0.9994794049089948","0.74476039218251","0.3157058048423283","0.22269124973464982","0.26815715560145137","0.22745081459131605","0.0673089946728319","0.009197329779092147"
"0.312100138857466","1","1","","11215","0.4833344932395439","0.1517410793119377","0.25192646003784486","0.21635558975370506","0.19199436125265543","0.29674423175009895","0.31847260003916844","0.11146516049366108","0.4342697563468586","0.23436716664047205","0.13106879616509504","0.5372977394055907","0.38142815078700165","0.045482878068542766","0.12936241642093718","1.0","0.9707244010809499","0.37946258920962955","0.12443306888837433","0.49627232208984834","0.28448613135307294","0.2979890189534795","0.21431352795138603","0.08756436863007139"
"0.31037131970162724","1","1","","11411","0.5986453506777228","0.4167497454228679","0.29991919639892","0.4017498847438114","0.6085795341553505","0.053636305107517504","0.1593748674065407","0.3010924527878878","0.03298578260108963","0.3845767005017524","0.18157697361624786","0.06476705459977179","0.10451003109479712","0.00525227478160435","0.06595733421278169","0.8864648408448612","0.28666857150095476","0.04424696110418828","0.0634212074317514","0.6590346116236838","0.5085660180633877","0.6930581841617465","0.174562842072271","0.2769191110347093"
"0.3042312581817497","1","1","","11109","0.2370591029268907","0.08523058352637622","0.6612030788208292","0.038558085872916294","0.14451605803049627","0.5259771627039053","0.3919999151376727","0.037323201423745525","0.04846140721828866","0.22657333338436417","0.004946981728080865","0.6991213224539738","0.12725098443724872","0.15717621689280956","0.26989687150759084","0.0","0.992457842955866","0.8745251879705056","0.6616141468087275","0.4388158900377536","0.3223924996904726","0.16528359334216858","0.35886154385169394","0.12783663938804496"
"0.2980759897862019","1","1","","11003","0.5239661622090631","0.2514206949455976","0.34984379177404434","0.2608355297138282","0.3414603996569551","0.1588896076889833","0.07932879788061406","0.33144041090398185","0.053733840474788054","0.3343852096353021","0.24650078918794885","0.032887438255725876","0.07520407650119562","0.00567545922832485","0.12461264118184982","0.803025743124364","0.20013301944582304","0.03416413391485132","0.09054024349554776","0.6191473459920752","0.5474128767628096","0.6175424646874068","0.3899647663489693","0.30216965485393776"
"0.29770093836792993","1","1","","10004","0.09925237099855574","0.06599979802428774","0.4410842554289792","0.05803601311823796","0.17443951801662616","0.28223725843982517","0.6230269356512836","0.013280914341682782","0.3590790980427372","0.20081695145062156","0.0","0.8812386902145611","0.219596506768888","0.007748997598906422","0.20820354960497667","0.6847681359045001","0.9922374767658821","0.8784331845088981","0.4840769650163898","0.27031005363623023","0.37590162142731026","0.05826694134112134","0.18584446719446424","0.01584844087532452"
