ZIP,nevi,nevi_cluster,score_demo,score_economic,score_residential,score_healthstatus,prop_age_under18,prop_age_65plus,female_led_hh_prop,eng_lim_prop,usentry_2010_prop,forborn_prop,uscitizen_no_prop,disability_prop,single_parent_prop,publictrans_taxi_mcycle_bike_walk_prop,travel_time_work_minute,prop_living_alone,poverty1yr_prop,service_manual_prop,gini_index,unemployment_prop,education_less_hs_prop,vehicle_avail_no_prop,pop_density,group_quarters_prop,occ_room_1_01plus_prop,age_structure_2019,str_units_1att_2plus_mobile_boat_rv_van_prop,str_units_20plus,move1yr_prop,str_vacancy_prop,income1yr_neg_median,CSMOKING_CrudePrev,BINGE_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,STROKE_CrudePrev,COPD_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,CHECKUP_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,DENTAL_CrudePrev,CERVICAL_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,MAMMOUSE_CrudePrev,ACCESS2_CrudePrev,score_demo_age,score_demo_femaleled,score_demo_immigration,score_demo_disability,score_demo_singleparent,score_demo_mobility,score_demo_livealone,score_economic_incomepoverty,score_economic_servicemanual,score_economic_gini,score_economic_employment,score_economic_education,score_economic_vehicleavail,score_residential_popdensity,score_residential_groupquarters,score_residential_occperroom,score_residential_structage,score_residential_structattach,score_residential_move1yr,score_residential_vacancy,score_healthstatus_lifestyle,score_healthstatus_condition,score_healthstatus_preventive,score_healthstatus_lackinsurance,nevi_cluster4,nevi_cluster5
11215,0.312100138857466,2,0.272938402197851,0.304982794973113,0.449391096536897,0.221088261722002,0.211912715590125,0.108331552248901,0.0424960181722118,0.0210189306437853,0.192712980512692,0.167867100967832,0.0827044837434262,0.0627607034156239,0.163636686195406,0.807190908417964,87267.860331417,0.26136762882898,0.0743399613512774,0.121230274375514,0.456406753466351,0.0378067366496175,0.0607262709303961,0.485781336717611,60861.4380716037,0.00694134823237398,0.0423199654566774,80,0.971051259275059,0.170631893347377,0.148881564396229,0.0671986672491892,112618.523977004,9.13721677375718,22.4943828204261,14.5314372675008,19.0655326344268,34.5136286777139,18.0947345282381,65.7925836996957,5.16458911058505,8.22885694961109,3.24486303686168,1.57246533648969,3.24694961109232,5.41163679404802,25.2872844098749,1.78737910043964,9.31185322962462,6.43623605005073,6.68167737571863,9.86789660251613,5.62934731146432,6.31746026378086,3.36099808280191,1.86863360781645,6.7197598917822,7.572241907389,2.18552151923667,8.35878254988164,0.483334493239544,0.151741079311938,0.251926460037845,0.216355589753705,0.191994361252655,0.296744231750099,0.318472600039168,0.111465160493661,0.434269756346859,0.234367166640472,0.131068796165095,0.537297739405591,0.381428150787002,0.0454828780685428,0.129362416420937,1,0.97072440108095,0.37946258920963,0.124433068888374,0.496272322089848,0.284486131353073,0.29798901895348,0.214313527951386,0.0875643686300714,2,2a
11216,0.458392114879944,1,0.38692057992685,0.466929099087298,0.526606770323607,0.453112010182022,0.155168798370672,0.111807413441955,0.0831967943261669,0.0211631145291297,0.168765413520401,0.242482022018623,0.0991010233107772,0.101308228105906,0.465250810429532,0.817774297608159,85748.9439918534,0.35420585463014,0.182667462170121,0.281235291960871,0.507688354378819,0.0616664452741416,0.125844048468237,0.609276878630708,63516.4682124663,0.0166324861546557,0.0515831492968384,78.1328309572302,0.984711651720004,0.221669863123563,0.154391491111276,0.110674566285934,185292.574175153,13.9028065173116,16.9107657841141,23.7559226069246,28.3219063136456,44.3319266802444,30.4934745417515,73.3768472505092,4.86142158859471,11.064215885947,4.59298574338086,3.28377596741344,5.0646150712831,10.6359470468432,27.1271853360489,2.89925865580448,12.4945906313646,10.077849287169,17.1356904276986,4.70831705121496,13.778566191446,12.5836985743381,16.9945589976665,3.72919880744976,7.9014949083503,12.3021865008732,0,13.4490957230143,0.353475837550563,0.300290692671402,0.279726341312096,0.393175230956414,0.57829896049125,0.298235195794125,0.5052418007121,0.38169504926946,0.676711330705865,0.382275523794422,0.287063181941686,0.675214705208253,0.398614803604099,0.108983631770655,0.16419904976892,0.974067096628196,0.984539032055571,0.416130542770761,0.221805385585104,0.816522653686044,0.600479217169885,0.585334874345341,0.359438196283492,0.267195752929371,1a,1a
11217,0.386032064955575,2,0.331269714437978,0.418735017989665,0.486394660714638,0.307728866680019,0.174099379508652,0.0961667255208596,0.0552012763137797,0.0323955879202872,0.247639585295698,0.185094034913761,0.0932477178205324,0.0976026837511981,0.24941222148636,0.853537169724833,68263.9290218433,0.346383011188334,0.119529786360229,0.156188230201117,0.512643399081875,0.0547926361551501,0.0943028026760527,0.644110979097043,55627.2838609696,0.0138059787268283,0.0615629461839644,64.945265600565,0.98325276812167,0.419224809895616,0.173757989734649,0.10348848297181,131667.870100388,10.8453210916612,21.1556474801998,17.6718206124199,21.5382787670887,37.2943903546386,20.3187257226454,66.7572415880543,4.74557836856177,9.03147858548151,3.61236442516269,2.0462493063613,3.83975180346063,6.92581344902386,24.9614034202694,2.1434041265197,10.5262523331484,7.70639660999849,9.7016950007567,9.26811846727048,8.94576502043081,8.54666296726025,8.07643346203255,3.31713828527043,7.79182263027796,9.55940289405881,1.27460446417186,10.50646723503,0.361607473581041,0.198112705676579,0.310446843062451,0.37617769276104,0.301854878790378,0.281184371869384,0.489504035324975,0.199442197255525,0.700137058792604,0.339664198141649,0.211503827030947,0.714116623191355,0.34754620352591,0.0904630665438419,0.201730694508264,0.790906466674514,0.983063676305204,0.552671452878742,0.205710822947525,0.580216445144377,0.394425925091626,0.369636301855759,0.303499512038375,0.163353727734314,2,2a
11218,0.429797401643465,2,0.343784799578404,0.390518821071516,0.510076480277162,0.474809505646777,0.265700270688322,0.124166589327146,0.0552172179328342,0.104782411852785,0.194069413225679,0.342024383245943,0.126876802673026,0.0894638824439289,0.187155414018402,0.740110929111014,82683.1647331787,0.263215688687681,0.178781588527395,0.312042912758958,0.45834713070379,0.0539654235715658,0.150190330071055,0.406336074750905,59206.3249270994,0.00954955771390235,0.131596222531511,76.4414153132251,0.916655113463255,0.459192749087504,0.0877338746793218,0.0425103440461131,175734.798298531,14.3212606341841,17.9791183294664,23.9116318638824,22.2179350348028,39.0907617942769,24.7664539829853,71.5560440835267,5.56057617942769,9.26687161639598,5.48147718484145,2.7746558391338,5.92060711523589,9.25772621809745,30.1521268368136,2.66679040989946,12.215464037123,10.5563611755607,15.8151044083527,8.86192051211914,10.5520881670534,11.0346055684455,15.8126851697698,8.53357159496456,9.98453596287703,15.8936644118556,4.49509274914431,14.2325212683681,0.652915593204076,0.198170889366686,0.410375379997875,0.338844558181473,0.222116931769982,0.261879772248614,0.32219047228012,0.400457718328403,0.443443185099562,0.334536237185358,0.345386475336773,0.448575107737186,0.370714202741814,0.0625730556326498,0.465109205868464,0.950575212683682,0.915714072215193,0.333020093454445,0.069139003005818,0.774404719079885,0.521982113720831,0.548564354362041,0.533849601739832,0.294841952764406,2,2a
11219,0.571571276832246,1,0.33694098410819,0.541049126024785,0.608420013587501,0.799874983608508,0.363660096292334,0.129460886383276,0.0463063632962752,0.210089898979365,0.184532526599387,0.326800335065156,0.154251786267673,0.086707666351179,0.130876848293034,0.699261111436624,52736.185342167,0.171023514531864,0.360962324187311,0.382904229816926,0.482317209168347,0.0471077681359826,0.316116337326775,0.497795377393794,64246.3826288382,0.0132147377333902,0.262930130145591,76.2954199415662,0.956716581535824,0.255574114049245,0.0652210850140098,0.101641264960453,209161.439364635,22.2194436442945,16.2192090860458,34.371960001646,24.2251676885725,41.9501131640673,28.1479897946587,73.1461133286696,5.76236368873709,10.6870375704704,8.50122217192708,4.1874531912267,10.0193942636106,12.3174643018806,33.4539772025843,3.57903789967491,17.1156989424304,15.9961071560841,30.0932019258467,10.4245264306786,15.5054195300605,16.4446442533229,30.9027361197767,17.7583496861402,16.4862310192996,25.7022189446195,7.77212826272266,20.3143039381095,0.904545053113866,0.165648069508014,0.483346737891579,0.326201641560681,0.150035861848385,0.192088545608768,0.136720979226037,0.700575539905098,0.556765379747413,0.292025049585925,0.74287432834553,0.550714742249749,0.403339716314997,0.0865889860174897,0.959024825449871,0.948547499188419,0.956227871504238,0.185272484492033,0.201573636570821,0.921704791889636,0.862149103924092,0.82788965829566,1,0.509461172214279,1b,1b
11220,0.590011756140605,1,0.401009885322157,0.602370322489207,0.577025288055875,0.779641528695183,0.235340908148455,0.122612315985901,0.0781846894795811,0.381380449455535,0.195079228473187,0.530187072142826,0.315413051104391,0.0823690234294008,0.303355176006807,0.768688960150706,87135.8594235953,0.196576156615073,0.254901351393231,0.56248435374679,0.469750035247771,0.0561083373808111,0.423450022463643,0.560736209790761,71492.3726545733,0.00488997602086659,0.228393082641943,76.5813808832677,0.980192336250652,0.18902054323832,0.0902820125059147,0.0762077670687975,198514.652498445,18.8527887207133,14.8850756790379,35.1960978643998,22.951403690649,42.8885797221646,26.0986937590711,70.7490275761974,4.48880364918101,9.2332904831018,6.56949616421315,3.25149906697077,6.98873315363881,12.8427742069252,32.0908355795148,3.14741861911673,14.4319593613933,14.1081194277421,23.6920257101389,10.7366928303757,16.0194940908148,15.0217167737922,30.6045277345362,18.0711579180083,14.8282645656231,27.6982419581547,7.01270053498743,25.8184117769024,0.575141728388537,0.281997522185879,0.803355626939161,0.306300045001645,0.370944519339145,0.281202725533617,0.188127029867117,0.6977990688431,0.497352152072473,0.347820341615796,1,0.621005608582334,0.450244763821538,0.0320413521508497,0.829139196321998,0.952519178934274,0.979968689313324,0.226110036915928,0.144610614154222,0.874787948600527,0.781366754131043,0.657084405152382,0.976420054082723,0.703694901414581,1b,1b
11221,0.514985068520209,1,0.445817801821121,0.500241938753522,0.51353614890912,0.600344384597074,0.195517882971729,0.111823668639053,0.132436828476996,0.08455482627043,0.189541856701951,0.250064830668939,0.118481460625984,0.097780966469428,0.630703200161451,0.784411140471064,80001.108974359,0.300203131708425,0.22517638375518,0.396325790146738,0.495734714003945,0.0629122494173668,0.19552222594109,0.565903031316198,60955.4145881452,0.0148703207771616,0.0671064885664688,74.2264628533859,0.985828463296503,0.187499603521781,0.115715752162886,0.11008271413431,193657.494641683,15.6703418803419,16.4454930966469,28.9982577251808,30.0500986193294,44.3691124260355,30.216298487837,72.0623142669297,4.67541420118343,11.0210585141354,5.30755424063116,3.51951347797502,5.86643655489809,12.1671893491124,28.7612458908613,3.23481919789612,13.9355193951348,12.15580539119,20.2977087442472,6.35634395896003,16.070157790927,14.3082478632479,23.0043120302276,6.16174156190839,10.0895726495726,18.2445625799615,1.82219427137521,19.8853418803419,0.451860675763552,0.480006873199366,0.350357984206557,0.376995485512283,0.790208861165674,0.274694015182,0.396600717718413,0.528459969611512,0.620198676259829,0.389998369327021,0.453982338397749,0.626775795397123,0.3820364835279,0.097437120874203,0.222578640177985,0.919811984074804,0.985668453472978,0.295392948696079,0.220479823229352,0.853384071838438,0.696831908903055,0.652059269781134,0.558162772472882,0.494323587231223,1a,1a
11222,0.358144549580587,2,0.293974328105056,0.321319486116661,0.476357362239138,0.340927021861491,0.114245651955363,0.106077862672162,0.0307507228808745,0.0721078503985182,0.202193298491936,0.262592473978887,0.128136328512069,0.0822326329546597,0.233833723136422,0.814422383556443,77695.8872021715,0.339361836142038,0.111687659340051,0.235188144995466,0.444703377902885,0.0358067529929906,0.0920875272982206,0.571654663974985,38581.1755802933,0.00776473886036812,0.0528320564810446,77.2782245903288,0.979691400772858,0.125131192470134,0.150790503681844,0.0707974479850685,153188.078264803,12.0675580577058,23.333452297175,17.2194279682316,20.0936764853725,35.8117723936865,18.9688599577762,65.3355835930431,5.06480848497034,8.70635870111591,3.84947722931537,1.8298884085654,4.26160651452699,5.85984216346637,25.7186337589223,1.96225997788278,11.1694933145672,7.76350155825877,10.1154720016085,11.2751988805111,7.23875037699809,8.11570322710365,8.36304189879401,4.64509287779448,10.340193023022,10.3772112530373,4.13950788097486,10.4184377199156,0.239807699548883,0.108873123484237,0.363682017968272,0.305674414302892,0.281902081231267,0.282501917461325,0.475379042738516,0.250408874220038,0.378940266891868,0.221969098347116,0.206196973281368,0.633199085763909,0.237202618195669,0.0508781088338245,0.168895892929176,0.962197563754565,0.979462097808306,0.365525834239533,0.13249320393561,0.675048834172952,0.434789601928422,0.362054531662132,0.406616687967621,0.160247265887789,2,2a
11223,0.468789272636934,2,0.39179166922018,0.439124741562567,0.505338564289659,0.53890211547533,0.25178631884532,0.164190047839065,0.0665726640105356,0.229015806355194,0.182439943798301,0.472499446612137,0.161028590501296,0.113419021139142,0.26677906774701,0.64165106619221,63190.2242711698,0.23562915091948,0.184152302891583,0.396360409711696,0.497652320399068,0.0718445913243722,0.198743143364933,0.311456745501564,45574.0782935614,0.00109884011792467,0.116538086179426,74.941448256123,0.892263946016149,0.344121495291445,0.0923840621099916,0.0765832206127946,194742.05393139,15.887860326287,16.7538618800343,26.9020566708918,21.8839514249499,38.6849899824181,27.5479003966145,74.9881628981478,6.74675144130515,9.57060555260253,7.19676984094533,3.43343419062027,7.74921290428098,10.6993621458069,33.5021343582614,3.10248190702049,12.9391094574151,12.2958130596557,18.4554115386188,8.14938663832938,11.0002126180644,11.8908247127612,18.1702486539043,11.1093506749737,9.76813591200883,16.8168569211386,6.71129706196177,14.5838573823445,0.716264825222657,0.239615974295438,0.55926040085467,0.448728112653041,0.324098175923078,0.187881505220923,0.266692690371451,0.473329564812903,0.629264452389323,0.445370714303799,0.461698281019985,0.342616066586785,0.282469370262608,0.00720010139633896,0.408479133092924,0.929742336890597,0.891047505813095,0.297285997666112,0.145451511805588,0.858163363362955,0.559711164516423,0.682080168347885,0.606576922891848,0.307240206145166,2,2a
