Tract_FIPS,county,nvi,nvi_cluster,score_demo,score_economic,score_residential,score_healthstatus,prop_age_under18,prop_age_65plus,female_led_hh_prop,hisp_prop,black_nonhisp_prop,asian_nonhisp_prop,aian_nhpi_mult_other_nonhisp_prop,eng_lim_prop,usentry_2010_prop,forborn_prop,uscitizen_no_prop,disability_prop,single_parent_prop,publictrans_taxi_mcycle_bike_walk_prop,travel_time_work_minute,prop_living_alone,income1yr_neg_median,poverty1yr_prop,service_manual_prop,gini_index,unemployment_prop,education_less_hs_prop,vehicle_avail_no_prop,pop_density,group_quarters_prop,occ_room_1_01plus_prop,age_structure_2019,str_units_1att_2plus_mobile_boat_rv_van_prop,str_units_20plus,move1yr_prop,str_vacancy_prop,CSMOKING_CrudePrev,BINGE_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,STROKE_CrudePrev,COPD_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,CHECKUP_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,DENTAL_CrudePrev,CERVICAL_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,MAMMOUSE_CrudePrev,ACCESS2_CrudePrev,score_demo_age,score_demo_femaleled,score_demo_raceeth,score_demo_immigration,score_demo_disability,score_demo_singleparent,score_demo_mobility,score_demo_livealone,score_economic_incomepoverty,score_economic_servicemanual,score_economic_gini,score_economic_employment,score_economic_education,score_economic_vehicleavail,score_residential_popdensity,score_residential_groupquarters,score_residential_occperroom,score_residential_structage,score_residential_structattach,score_residential_move1yr,score_residential_vacancy,score_healthstatus_lifestyle,score_healthstatus_condition,score_healthstatus_preventive,score_healthstatus_lackinsurance
36081076901,Queens,0.279082533103856,2,0.26428414368155,0.264052122574693,0.389146163219094,0.198847702940087,0.202,0.125,0.0525540275049116,0.187656001815294,0.0385749943272067,0.263898343544361,0.0465169049239846,0.01209982354424,0.144632768361582,0.385749943272067,0.123666893578398,0.064,0.17351598173516,0.78520685332219,110885,0.480353634577603,161030,0.032902201043794,0.141849529780564,0.4886,0.025440313111546,0.0648899188876014,0.407020476389469,63052.1450073034,0,0.0574656188605108,80,0.976076555023923,0.848194867333623,0.095559172285515,0.11439756415833,9.2,17.6,19.2,20.8,34.3,21.9,71,6.2,7.8,4.1,2,3.9,7.5,30.4,2.1,8.6,7.8,6.9,12.5,28.2,31.3,11.3,4.2,7.40000000000001,13.8,9.7,9.8,0.358225803911999,0.125682397692597,0.309993762372746,0.234213042286577,0.0929054054054054,0.17351598173516,0.309614997904736,0.510121758143176,0.378311723939038,0.161778802559651,0.447776212517609,0.0702580609762789,0.100196546647692,0.425991388807887,0.250488563456426,0,0.105439148891384,1,0.929587391707656,0.24919525531352,0.18931278316467,0.193636257780941,0.2067289994948,0.261362188147974,0.133663366336634
36061003300,New York,0.249429553308036,2,0.178527396830168,0.270035415539597,0.399538849246704,0.149616551615676,0.224,0.087,0.00617792421746293,0.0436447166921899,0.0204823889739663,0.133614088820827,0.0373277182235835,0.00852151682999574,0.153976311336717,0.210566615620214,0.0937978560490046,0.025,0.0354223433242507,0.813435317592285,74435,0.390856672158155,26563,0.0246937212863706,0.0833061091146684,0.5273,0.0742747848262671,0.0197505197505198,0.66977053541736,39599.0888710894,0,0.0531301482701812,70,0.993281827342963,0.539469264360094,0.2099533437014,0.184413839435674,8.4,28,10.5,16.3,34.2,16.4,63.6,5,8.5,2.9,1.3,3,4.3,24.8,1.5,9,6.2,4.4,15.1,26.1,25,5.3,2.2,9,9.2,4.30000000000001,5.8,0.332069759403398,0.0147744400434645,0.165642545595617,0.170334525046093,0.0270270270270271,0.0354223433242507,0.270960676303832,0.411987857897663,0.0629349681396893,0.095010273205159,0.525659086335279,0.205123354356654,0.0304967845148167,0.700988026685985,0.156242533020107,0,0.0974843345493056,0.864864864864865,0.825492145759865,0.547507641979944,0.305180424552839,0.297016171802863,0.128439080756277,0.138357488557028,0.0346534653465347
36081077300,Queens,0.290289670867129,3,0.286682716835176,0.274552922269226,0.355406298645667,0.244516745718446,0.134,0.243,0.0707364341085271,0.228380315336837,0.0243669374104157,0.156712852365026,0.0396559961777353,0.074203187250996,0.187861271676301,0.463449593884377,0.139512661251792,0.13,0.338078291814947,0.658127208480565,51920,0.364341085271318,176501,0.0602006688963211,0.231398201144726,0.5106,0.0344234079173838,0.0399274047186933,0.28886925795053,19424.7484129656,0,0.0891472868217054,80,0.872431506849315,0.838184931506849,0.0753358925143954,0.116438356164384,10.3,17,21.6,21.8,35,23.9,71.9,6.1,7.9,4.7,2.2,4.5,8.6,31.6,2.3,9.2,8.7,8.5,12.6,29.9,31.9,14.9,6.10000000000001,9,15.9,10.1,12.1,0.439869955389132,0.169165429655286,0.253146030602231,0.311534125507786,0.204391891891892,0.338078291814947,0.194362635437441,0.382913374382694,0.432306460228107,0.263908692214646,0.492050714429463,0.0950665143886627,0.0616519197126354,0.30233323264184,0.0751720109608039,0,0.163569352159468,1,0.859954881214535,0.196457823151764,0.192690023033096,0.230472783927217,0.23313061891574,0.323869520624885,0.190594059405941
36047052700,Kings,0.396119631094465,5,0.311276532237846,0.469092868509465,0.363845185739067,0.440263937891483,0.183,0.1,0.158390410958904,0.663174114021572,0.0235747303543914,0.0436055469953775,0.0166409861325116,0.162745098039216,0.168836452400325,0.278428351309707,0.136671802773498,0.129,0.543814432989691,0.881297229219144,97810,0.153681506849315,185834,0.210769942910045,0.390349520569131,0.4701,0.100349040139616,0.24191866527633,0.71960846226713,88467.6100033,0.00277349768875193,0.0723458904109589,70,0.97444831591173,0.554394115369725,0.0827338129496403,0.0956252419667054,14.2,19.7,27.5,25.8,38.7,21.7,65.7,4,9.2,4.7,2.3,4.8,9.9,27.7,2.8,13.6,10.9,14.4,16.3,38.9,37.6,26.2,11.3,17.7,29.3,6.30000000000001,23.1,0.296206368411317,0.378788982803847,0.311773081544804,0.283017137112721,0.202702702702703,0.543814432989691,0.321985537769671,0.151924014568015,0.55499209473543,0.445192015194546,0.41054538136446,0.277132162254734,0.373546696402769,0.753148861104852,0.352620527566097,0.0036141640763469,0.132741789995108,0.864864864864865,0.819078057890395,0.21574981394195,0.158247081838707,0.44535175159637,0.24660720470059,0.606225508140258,0.462871287128713
36047055300,Kings,0.270418662494785,2,0.18704178214178,0.305338865463837,0.396491126826491,0.192802875547031,0.093,0.13,0.0292648108493933,0.185036496350365,0.00109489051094891,0.0456204379562044,0.0237226277372263,0.0383026661659782,0.222695035460993,0.208029197080292,0.101094890510949,0.065,0.137339055793991,0.860559796437659,53230,0.341898643825839,129932,0.102318733897681,0.179254783484391,0.4477,0.0479836651352731,0.0573630136986301,0.657113613101331,45411.9281390789,0.0062043795620438,0.0563882940756602,80,0.962825278810409,0.218711276332094,0.222140221402214,0.131970260223048,8.5,24.4,13.5,17.2,33.6,15.9,62.6,4.4,7.8,2.8,1.3,2.7,4.6,22.9,1.6,9.2,5.5,6,16.2,27.8,29.2,8.09999999999999,6.5,14.1,13,6.80000000000001,8.5,0.219623352320416,0.069986483818549,0.140422899015804,0.218219124476523,0.0945945945945946,0.137339055793991,0.257843630381295,0.358305116733071,0.353296903862494,0.204439339841702,0.365465888508754,0.132515635957693,0.0885742496898878,0.687741174922489,0.179601408869402,0.00808497004345809,0.103462450290609,1,0.68660771872543,0.579288077363533,0.218393262493009,0.249132191740735,0.116738441590344,0.303855720342192,0.101485148514851
36047067200,Kings,0.281655863064852,3,0.187028706266273,0.282987982436142,0.289080029061959,0.367526734495036,0.178,0.157,0.0043010752688172,0.0365853658536585,0.716463414634146,0.116463414634146,0,0.117129316181449,0.116899618805591,0.479878048780488,0.119512195121951,0.118,0.0522648083623693,0.570528967254408,44610,0.148387096774194,165563,0.0195121951219512,0.324937027707809,0.3733,0.114928909952607,0.221453287197232,0.0692695214105794,24378.177430121,0,0.144086021505376,68,0.662650602409639,0.0140562248995984,0.113940165499682,0.0662650602409639,15.9,16.3,26.9,28.9,45.4,30.6,73.3,5.3,11.4,5.2,3.5,6.2,11.4,28.8,3,13.2,11.4,18.6,9.2,36.4,36.4,24.2,7.2,10.2,20.9,4.7,15.1,0.372924278111879,0.0102859757492565,0.281639717034814,0.290726667307484,0.184121621621622,0.0522648083623693,0.15814791647403,0.146118665468727,0.3797596348582,0.370589337385765,0.215737572952304,0.317397129822387,0.341946098890591,0.0724981207076043,0.0950773494891215,0,0.264372119815667,0.837837837837838,0.419484569014623,0.297128448824602,0.109659878451861,0.501867412498615,0.325980432448371,0.377407607884644,0.264851485148515
36047070000,Kings,0.224547589314519,3,0.210408205308739,0.211529977197528,0.211641622490594,0.264610552261216,0.238,0.171,0.10655737704918,0.0411471321695761,0.0155860349127182,0.0155860349127182,0,0.00468227424749164,0.0902061855670103,0.232543640897756,0.0399002493765586,0.134,0.272965879265092,0.279470198675497,29320,0.268852459016393,157223,0.0567331670822943,0.267275097783572,0.4666,0.0278145695364238,0.050314465408805,0.0198675496688742,20576.9438708682,0.00311720698254364,0.0262295081967213,56,0.751987281399046,0.184419713831479,0.0322376738305942,0.0302066772655008,12.9,19.3,20.8,21.1,35.1,27.9,76.2,8.3,9.2,6.5,3,6.9,8.4,34.3,2.8,11,10.1,12.2,11.5,30.3,32.9,12.9,6.7,10,15.4,8.90000000000001,9.2,0.473733822256652,0.254830833623996,0.0245477234987675,0.118340560343548,0.211148648648649,0.272965879265092,0.0494885922905514,0.278209582542653,0.385552860495587,0.304826144579611,0.403501710605756,0.0768150027851704,0.0776905837888211,0.0207935609302244,0.0798021046920172,0.00406205404119759,0.0481264637002342,0.675675675675676,0.539768946343839,0.0840680718427134,0.0499880411384836,0.3085970840776,0.315079861966649,0.315953381812496,0.118811881188119
36081027100,Queens,0.428026343089807,6,0.330116081681802,0.449473936196495,0.425609845201324,0.506905509279609,0.238,0.135,0.0743295019157088,0.520289511153299,0.007593735168486,0.40828191741813,0.0219506407214048,0.346598202824134,0.2592966515228,0.681893687707641,0.383364973896535,0.099,0.274669379450661,0.817835002384359,162710,0.141379310344828,195336,0.130517323208353,0.579324699352451,0.4607,0.0109515697249939,0.305622628492584,0.591797806390081,157204.112186962,0,0.175862068965517,68,0.948800572860723,0.726817042606516,0.0822438792488709,0.0655209452201934,15.5,13.8,36.8,24.2,41.3,24.9,69.8,4,8,5.3,2.7,5.3,13.4,32.4,2.7,12.1,12.9,16.1,15,38.4,37.8,33.7,15.9,14.7,31.6,12.9,28,0.42105290452047,0.177758213092035,0.445763661946919,0.644441377874278,0.152027027027027,0.274669379450661,0.386781499553624,0.138434589989403,0.522960284639182,0.660717425707754,0.39162809418394,0.0302447556423897,0.471912008479925,0.61938104852578,0.628837939883829,0,0.322675492610837,0.837837837837838,0.867016994097745,0.214472185110202,0.108428466868816,0.473862239353989,0.278831278874412,0.690770103048451,0.584158415841584
36081017400,Queens,0.336411265094843,3,0.302501598248264,0.332973577500224,0.264657526623487,0.445512358007396,0.163,0.149,0.0629685157421289,0.21925601750547,0.373304157549234,0.218818380743982,0.178118161925602,0.0572748267898383,0.180073800738007,0.58074398249453,0.207877461706783,0.177,0.302941176470588,0.44755877034358,51870,0.16191904047976,172126,0.0800875273522976,0.518421052631579,0.4,0.0479204339963834,0.292625368731563,0.112115732368897,31054.1985372375,0.00919037199124726,0.113943028485757,80,0.428374655647383,0,0.0421386497507929,0.081267217630854,17.1,14.7,31.8,29.8,44.8,30.9,72.8,5.2,11.3,5.5,3.7,6.6,13.3,30.7,3.1,14.1,13.3,18.9,10.9,37.7,37.5,29.7,7.40000000000001,11.3,23.5,10.8,20.8,0.341136777358664,0.150588535519474,0.681131200861345,0.369442195919159,0.283783783783784,0.302941176470588,0.130032601611169,0.160956514461928,0.435588370798135,0.591257068290561,0.269470718454417,0.132341011644218,0.451842935097462,0.117341360716553,0.121904918774784,0.0119760374900393,0.209065110301992,1,0.265282735150435,0.109887427151852,0.134486457495307,0.524207767590463,0.348352267267105,0.503548803112608,0.405940594059406
