"ToxPi Score","HClust Group","KMeans Group","Name","Source","DemographicsAge!1/32!0x0072b2ff","DemographicsFemaleLed!1/32!0x0066a0ff","DemographicsRaceEth!1/32!0x005b8eff","DemographicsImmigration!1/32!0x004f7cff","DemographicsDisability!1/32!0x00446aff","DemographicsSingleParent!1/32!0x003858ff","DemographicsMobility!1/32!0x002d47ff","DemographicsLiveAlone!1/32!0x002235ff","Economic IndicatorsIncomePoverty!1/24!0x009e73ff","Economic IndicatorsServiceManualJobs!1/24!0x008e67ff","Economic IndicatorsGini!1/24!0x007e5cff","Economic IndicatorsEmployment!1/24!0x006e50ff","Economic IndicatorsEducation!1/24!0x005e45ff","Economic IndicatorsVehicleAvail!1/24!0x004f39ff","Residential DensityPopDensity!1/28!0xe69f00ff","Residential DensityGroupQuarters!1/28!0xcf8f00ff","Residential DensityOccPerRoom!1/28!0xb87f00ff","Residential DensityStrAge!1/28!0xa16f00ff","Residential DensityStrAttached!1/28!0x8a5f00ff","Residential DensityMove1Yr!1/28!0x734f00ff","Residential DensityVacancy!1/28!0x5c3f00ff","Health StatusLifestyle!1/16!0xcc79a7ff","Health StatusCondition!1/16!0xb76c96ff","Health StatusPreventive!1/16!0xa36085ff","Health StatusLackInsurance!1/16!0x8e5474ff"
"0.42403502936336873","1","1","","36005021800","0.37345019995043394","0.35733718242693907","0.37651790603615903","0.43862234135606953","0.2010135135135135","0.653108211818879","0.2910201287305938","0.23246738157497052","0.6303398184104271","0.7244828908763553","0.2658482592070839","0.07043333176393043","0.5001011037112045","0.41660215145848184","0.2087578335822232","0.022184796003404363","0.2071953781512598","0.9729729729729729","0.8246174614118811","0.3720078575198754","0.07203939597681307","0.602293309182847","0.3781390792252819","0.545293158148479","0.5272277227722771"
"0.42402155076291276","1","1","","36047009000","0.3485679781783475","0.3118155063443824","0.39043057718760005","0.567661869114733","0.1266891891891892","0.3247978436657681","0.24390285575014506","0.18108075255136014","0.5875782068816866","0.5784049264366083","0.2906017307305292","0.1341490726841316","0.6861788856381578","0.623030643903443","0.20738340891695867","0.0","0.37029275996112687","1.0","0.6741090798049783","0.16510449857206924","0.09213393720035627","0.5732048906468722","0.26391740659335006","0.7955970522324436","0.5371287128712872"
"0.4238759298156738","1","1","","36047120000","0.37469157971703343","0.21852734193159715","0.3929385104365952","0.2836704455793891","0.11824324324324326","0.34959349593495903","0.21504592990677615","0.3545580230583825","0.673040773482836","0.621865203761755","0.27772187562889916","0.2606897692498552","0.37994226862905783","0.6638162431183317","0.17895688071818908","0.11445540011868399","0.4321394098179818","0.7297297297297297","0.694420472868393","0.20813096972640466","0.18366375731556703","0.6905582284459956","0.4132021801982658","0.6691371297115373","0.4851485148514852"
"0.4238299043687408","1","1","","36005006300","0.3768703964710834","0.36782552747764735","0.33786134133846535","0.4107843938465673","0.31925675675675674","0.611378977820636","0.30709631409547977","0.39159954834034694","0.6694555681468283","0.6279574160441144","0.5178104246327228","0.18505510548422222","0.41758997769086853","0.62948560476337","0.042694990348052776","0.0150730396399078","0.22098214285714352","1.0","0.9465275133737807","0.10070139316502463","0.08278434518095786","0.5115726751642787","0.3635227067438691","0.47644477986433986","0.4603960396039604"
"0.4237136384084552","1","1","","36005020000","0.41223518686452376","0.2523355010645534","0.4423786882251538","0.4317149016526172","0.16047297297297297","0.29992737835875105","0.30052303070341474","0.24391541609682282","0.6387639263936303","0.6669600964044888","0.3936405715435701","0.36623996005921094","0.4255691216261436","0.6403810918740079","0.14052448601821493","0.009957938805133237","0.519595448798989","0.8918918918918918","0.7089930976846068","0.3731005417973957","0.13359066089248733","0.5158644519802001","0.3229250386641525","0.5558243006460825","0.4381188118811882"
"0.42360841507755687","1","1","","36061001800","0.2734261214035377","0.09191778839195254","0.45835985839517507","0.412584707174324","0.13175675675675674","0.40647482014388503","0.3125800834771953","0.5201023120494828","0.5885122170319802","0.37461976797504465","0.5089555242503522","0.08817723989658727","0.5453998450254142","0.9088528289721133","0.31396881339201094","0.12286217432327035","0.2059493440233241","1.0","0.8187188484755631","0.3739379186306133","0.15830935614092878","0.5034886385670645","0.2769683026278298","0.634177023165943","0.33910891089108913"
"0.42353977133793913","1","1","","36047027600","0.36990023155012375","0.17518576244155257","0.35984439031352505","0.6125742267689472","0.14358108108108109","0.38440860215053807","0.2514575984287736","0.1972953437178557","0.543267929530459","0.7176425269645603","0.44133628496679406","0.12938414385578179","0.5107500015794445","0.5753224031992488","0.2511168643047082","0.0","0.39228294597225516","1.0","0.710419725856593","0.5238543807566431","0.12749763455223467","0.5069051483989514","0.3397955029533885","0.6540990248957282","0.3663366336633663"
"0.42353139261539796","1","1","","36047034900","0.40766069602701904","0.3463609815299428","0.323020332991815","0.26928674470422354","0.13682432432432431","0.6246096189881322","0.33778372508803006","0.30982210707271707","0.6405766370043383","0.6804767639852147","0.4242302274099416","0.2678396417979284","0.28201248811477025","0.6425503541534701","0.3889715566014409","0.008270328807197915","0.3303332696715049","1.0","0.8489524972235689","0.2761514891460232","0.08731887170943271","0.5899265526836271","0.403765528793203","0.4547884739148008","0.3118811881188119"
"0.42346087033530766","1","1","","36005009000","0.4730405638385204","0.8259267383198063","0.38722591445096594","0.18730532981879414","0.383445945945946","0.729166666666667","0.18213686687247482","0.255653730066769","0.7478354628056099","0.49382295305444357","0.5691285973032804","0.21243709561466562","0.5355697364386921","0.4119377303430881","0.03224750946876844","0.02411068052345644","0.05359444035346085","0.7297297297297297","0.7868436022159802","0.037165205995577114","0.05630668674035184","0.597280555854764","0.431682493451042","0.5488391361480497","0.5222772277227723"
"0.42341114217030656","1","1","","36081036100","0.39169352082062425","0.30183846312745355","0.3778968077408753","0.5147451647966184","0.14020270270270271","0.3884297520661161","0.18932853266073854","0.22471356992190958","0.5393794118220825","0.6769609975351595","0.31917890923727105","0.22363905169227524","0.4636306506794467","0.302429291494898","0.1451247288087262","0.004075848326592181","0.4542519070735095","1.0","0.5920443051456864","0.1893304204062354","0.404613021182681","0.5575570995944374","0.35792121093017354","0.6464389068463758","0.6707920792079208"
